Day,Predicted_Price
1,23.358699357509042
2,23.433965121910507
3,23.509163045830718
4,23.505906944273654
5,23.50122693341504
6,23.501609431484564
7,23.49295293420718
8,23.49443365338616
9,23.494426594720938
10,23.494486610234645
11,23.495009238846695
12,23.49503396556582
13,23.49492364489213
14,23.49498857890651
15,23.49491893330715
16,23.49492813033022
17,23.494932458367394
18,23.49493008750911
19,23.494932670344763
20,23.49493416489123
21,23.494932415128
22,23.494933335224292
23,23.494932840645333
24,23.494932846185648
25,23.494932913689258
26,23.494932896159202
27,23.494932889917063
28,23.494932919169955
29,23.494932897524965
30,23.494932906590996
31,23.49493290382594
32,23.494932903233227
33,23.49493290374765
34,23.494932903931044
35,23.494932903524997
36,23.49493290393464
37,23.494932903711256
38,23.49493290378202
39,23.49493290377198
40,23.494932903766017
41,23.49493290376484
42,23.494932903772177
43,23.494932903765026
44,23.494932903769747
45,23.494932903767754
46,23.49493290376822
47,23.494932903768184
48,23.494932903768213
49,23.4949329037681
50,23.494932903768234
51,23.49493290376814
52,23.494932903768188
53,23.49493290376817
54,23.494932903768174
55,23.494932903768174
56,23.494932903768177
57,23.494932903768174
58,23.494932903768177
59,23.494932903768177
60,23.494932903768177
61,23.494932903768177
62,23.494932903768177
63,23.494932903768177
64,23.494932903768177
65,23.494932903768177
66,23.494932903768177
67,23.494932903768177
68,23.494932903768177
69,23.494932903768177
70,23.494932903768177
71,23.494932903768177
72,23.494932903768177
73,23.494932903768177
74,23.494932903768177
75,23.494932903768177
76,23.494932903768177
77,23.494932903768177
78,23.494932903768177
79,23.494932903768177
80,23.494932903768177
81,23.494932903768177
82,23.494932903768177
83,23.494932903768177
84,23.494932903768177
85,23.494932903768177
86,23.494932903768177
87,23.494932903768177
88,23.494932903768177
89,23.494932903768177
90,23.494932903768177
91,23.494932903768177
92,23.494932903768177
93,23.494932903768177
94,23.494932903768177
95,23.494932903768177
96,23.494932903768177
97,23.494932903768177
98,23.494932903768177
99,23.494932903768177
100,23.494932903768177
101,23.494932903768177
102,23.494932903768177
