Day,Predicted_Price
1,1730.2150638899125
2,1733.1658496585176
3,1737.553075195343
4,1739.353912223097
5,1740.4628492523975
6,1740.9001325043776
7,1740.7836944974329
8,1740.618004675933
9,1740.4438359080077
10,1740.3204537954211
11,1740.2616892525264
12,1740.2422139108437
13,1740.2431735158016
14,1740.252839404043
15,1740.2618858540382
16,1740.2682586058677
17,1740.271571842282
18,1740.272715262254
19,1740.2726785890004
20,1740.272226778396
21,1740.2717426575807
22,1740.27140624478
23,1740.2712246790416
24,1740.2711597283887
25,1740.271157744795
26,1740.2711806879072
27,1740.2712054856947
28,1740.2712235781871
29,1740.2712333838977
30,1740.2712371243604
31,1740.271237376975
32,1740.2712362652544
33,1740.271234969034
34,1740.2712340138835
35,1740.2712334773328
36,1740.2712332675799
37,1740.271233243935
38,1740.2712332986582
39,1740.2712333653462
40,1740.2712334162254
41,1740.271233445208
42,1740.2712334570917
43,1740.2712334587966
44,1740.271233456181
45,1740.2712334527282
46,1740.2712334500416
47,1740.271233448468
48,1740.2712334478044
49,1740.2712334476864
50,1740.2712334478117
51,1740.2712334479888
52,1740.2712334481312
53,1740.271233448216
54,1740.271233448253
55,1740.2712334482605
56,1740.2712334482546
57,1740.2712334482455
58,1740.271233448238
59,1740.2712334482335
60,1740.2712334482314
61,1740.271233448231
62,1740.2712334482312
63,1740.2712334482317
64,1740.2712334482321
65,1740.2712334482324
66,1740.2712334482326
67,1740.2712334482326
68,1740.2712334482326
69,1740.2712334482326
70,1740.2712334482326
71,1740.2712334482326
72,1740.2712334482326
73,1740.2712334482326
74,1740.2712334482326
75,1740.2712334482326
76,1740.2712334482326
77,1740.2712334482326
78,1740.2712334482326
79,1740.2712334482326
80,1740.2712334482326
81,1740.2712334482326
82,1740.2712334482326
83,1740.2712334482326
84,1740.2712334482326
85,1740.2712334482326
86,1740.2712334482326
87,1740.2712334482326
88,1740.2712334482326
89,1740.2712334482326
90,1740.2712334482326
91,1740.2712334482326
92,1740.2712334482326
93,1740.2712334482326
94,1740.2712334482326
95,1740.2712334482326
96,1740.2712334482326
97,1740.2712334482326
98,1740.2712334482326
99,1740.2712334482326
100,1740.2712334482326
101,1740.2712334482326
102,1740.2712334482326
103,1740.2712334482326
104,1740.2712334482326
105,1740.2712334482326
106,1740.2712334482326
107,1740.2712334482326
108,1740.2712334482326
109,1740.2712334482326
110,1740.2712334482326
111,1740.2712334482326
112,1740.2712334482326
113,1740.2712334482326
114,1740.2712334482326
115,1740.2712334482326
116,1740.2712334482326
117,1740.2712334482326
118,1740.2712334482326
119,1740.2712334482326
120,1740.2712334482326
121,1740.2712334482326
122,1740.2712334482326
123,1740.2712334482326
124,1740.2712334482326
125,1740.2712334482326
126,1740.2712334482326
127,1740.2712334482326
128,1740.2712334482326
129,1740.2712334482326
130,1740.2712334482326
131,1740.2712334482326
132,1740.2712334482326
133,1740.2712334482326
134,1740.2712334482326
135,1740.2712334482326
136,1740.2712334482326
137,1740.2712334482326
138,1740.2712334482326
139,1740.2712334482326
140,1740.2712334482326
141,1740.2712334482326
142,1740.2712334482326
143,1740.2712334482326
144,1740.2712334482326
145,1740.2712334482326
146,1740.2712334482326
147,1740.2712334482326
148,1740.2712334482326
149,1740.2712334482326
150,1740.2712334482326
151,1740.2712334482326
152,1740.2712334482326
153,1740.2712334482326
154,1740.2712334482326
155,1740.2712334482326
156,1740.2712334482326
157,1740.2712334482326
158,1740.2712334482326
159,1740.2712334482326
160,1740.2712334482326
161,1740.2712334482326
162,1740.2712334482326
163,1740.2712334482326
164,1740.2712334482326
165,1740.2712334482326
166,1740.2712334482326
167,1740.2712334482326
168,1740.2712334482326
169,1740.2712334482326
170,1740.2712334482326
171,1740.2712334482326
172,1740.2712334482326
173,1740.2712334482326
174,1740.2712334482326
175,1740.2712334482326
176,1740.2712334482326
177,1740.2712334482326
178,1740.2712334482326
179,1740.2712334482326
180,1740.2712334482326
181,1740.2712334482326
182,1740.2712334482326
183,1740.2712334482326
184,1740.2712334482326
185,1740.2712334482326
186,1740.2712334482326
187,1740.2712334482326
188,1740.2712334482326
189,1740.2712334482326
190,1740.2712334482326
191,1740.2712334482326
192,1740.2712334482326
193,1740.2712334482326
194,1740.2712334482326
195,1740.2712334482326
196,1740.2712334482326
197,1740.2712334482326
198,1740.2712334482326
199,1740.2712334482326
200,1740.2712334482326
201,1740.2712334482326
202,1740.2712334482326
203,1740.2712334482326
204,1740.2712334482326
205,1740.2712334482326
206,1740.2712334482326
207,1740.2712334482326
208,1740.2712334482326
209,1740.2712334482326
210,1740.2712334482326
211,1740.2712334482326
212,1740.2712334482326
213,1740.2712334482326
214,1740.2712334482326
215,1740.2712334482326
216,1740.2712334482326
217,1740.2712334482326
218,1740.2712334482326
219,1740.2712334482326
220,1740.2712334482326
221,1740.2712334482326
222,1740.2712334482326
223,1740.2712334482326
224,1740.2712334482326
225,1740.2712334482326
226,1740.2712334482326
227,1740.2712334482326
228,1740.2712334482326
229,1740.2712334482326
230,1740.2712334482326
231,1740.2712334482326
232,1740.2712334482326
233,1740.2712334482326
234,1740.2712334482326
235,1740.2712334482326
236,1740.2712334482326
237,1740.2712334482326
238,1740.2712334482326
239,1740.2712334482326
240,1740.2712334482326
241,1740.2712334482326
242,1740.2712334482326
243,1740.2712334482326
244,1740.2712334482326
245,1740.2712334482326
246,1740.2712334482326
247,1740.2712334482326
248,1740.2712334482326
249,1740.2712334482326
250,1740.2712334482326
251,1740.2712334482326
252,1740.2712334482326
253,1740.2712334482326
254,1740.2712334482326
255,1740.2712334482326
256,1740.2712334482326
257,1740.2712334482326
258,1740.2712334482326
259,1740.2712334482326
260,1740.2712334482326
261,1740.2712334482326
262,1740.2712334482326
263,1740.2712334482326
264,1740.2712334482326
265,1740.2712334482326
266,1740.2712334482326
267,1740.2712334482326
268,1740.2712334482326
269,1740.2712334482326
270,1740.2712334482326
271,1740.2712334482326
272,1740.2712334482326
273,1740.2712334482326
274,1740.2712334482326
275,1740.2712334482326
276,1740.2712334482326
277,1740.2712334482326
278,1740.2712334482326
279,1740.2712334482326
280,1740.2712334482326
281,1740.2712334482326
282,1740.2712334482326
283,1740.2712334482326
284,1740.2712334482326
285,1740.2712334482326
286,1740.2712334482326
287,1740.2712334482326
288,1740.2712334482326
289,1740.2712334482326
290,1740.2712334482326
291,1740.2712334482326
292,1740.2712334482326
293,1740.2712334482326
294,1740.2712334482326
295,1740.2712334482326
296,1740.2712334482326
297,1740.2712334482326
298,1740.2712334482326
299,1740.2712334482326
300,1740.2712334482326
301,1740.2712334482326
302,1740.2712334482326
303,1740.2712334482326
304,1740.2712334482326
305,1740.2712334482326
306,1740.2712334482326
307,1740.2712334482326
308,1740.2712334482326
309,1740.2712334482326
310,1740.2712334482326
311,1740.2712334482326
312,1740.2712334482326
313,1740.2712334482326
314,1740.2712334482326
315,1740.2712334482326
316,1740.2712334482326
317,1740.2712334482326
318,1740.2712334482326
319,1740.2712334482326
320,1740.2712334482326
321,1740.2712334482326
322,1740.2712334482326
323,1740.2712334482326
324,1740.2712334482326
325,1740.2712334482326
326,1740.2712334482326
327,1740.2712334482326
328,1740.2712334482326
329,1740.2712334482326
330,1740.2712334482326
331,1740.2712334482326
332,1740.2712334482326
333,1740.2712334482326
334,1740.2712334482326
335,1740.2712334482326
336,1740.2712334482326
337,1740.2712334482326
338,1740.2712334482326
339,1740.2712334482326
340,1740.2712334482326
341,1740.2712334482326
342,1740.2712334482326
343,1740.2712334482326
344,1740.2712334482326
345,1740.2712334482326
346,1740.2712334482326
347,1740.2712334482326
348,1740.2712334482326
349,1740.2712334482326
350,1740.2712334482326
351,1740.2712334482326
352,1740.2712334482326
353,1740.2712334482326
354,1740.2712334482326
355,1740.2712334482326
356,1740.2712334482326
357,1740.2712334482326
